Дата,Кривая,Тип,Дисконт фактор,Тенор,Ставка
28.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00072378
28.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99865655
28.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99552619
28.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.93540597
28.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.85710077
28.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.76974043
28.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.70598715
28.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.64755772
29.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00035143
29.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99958534
29.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99242359
29.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95869802
29.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.9093779
29.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.83957699
29.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.7476233
29.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67911755
30.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00048424
30.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99945078
30.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99256461
30.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95245953
30.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89627508
30.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.81820482
30.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.74324034
30.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.6762025
31.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00020927
31.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99952502
31.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99237389
31.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95689873
31.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.90607197
31.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.83569624
31.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.73933145
31.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67276607
01.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00022839
01.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.9991898
01.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99252975
01.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95596636
01.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.90214973
01.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.82433251
01.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.74944054
01.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.68087728
04.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00030015
04.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99932303
04.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.995352
04.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.9316464
04.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.8587967
04.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.76986387
04.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.7060842
04.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.64764681
05.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00012022
05.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99937058
05.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99432752
05.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95701564
05.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.9017823
05.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.8238742
05.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.74883582
05.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.68037579
06.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00035131
06.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,1.00037495
06.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99472306
06.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95337075
06.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89801237
06.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.81855248
06.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.73898182
06.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.6725629
07.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00023688
07.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99953773
07.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99507061
07.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95427178
07.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89970172
07.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.82189364
07.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.73864144
07.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67222375
08.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00049264
08.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99949398
08.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99513822
08.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95345679
08.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89714186
08.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.8168987
08.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.73976549
08.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67320823
11.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00096552
11.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99959943
11.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99522566
11.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95307634
11.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89692903
11.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.81667129
11.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.73937233
11.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67288623
12.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00049501
12.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99870764
12.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99514105
12.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.93912853
12.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.87185623
12.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.78703079
12.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.71824664
12.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.65669497
13.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00083037
13.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99959095
13.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99480004
13.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95304151
13.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89692573
13.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.8165238
13.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.73930728
13.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67287929
14.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00172188
14.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99937656
14.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99469642
14.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95424382
14.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89899122
14.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.82003584
14.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.73912093
