nominal;data;curs;cdx
1;31.12.2025;92,0938;Евро
1;30.12.2025;91,4775;Евро
1;27.12.2025;91,2066;Евро
1;26.12.2025;91,8902;Евро
1;25.12.2025;92,4742;Евро
1;24.12.2025;92,8137;Евро
1;23.12.2025;92,8621;Евро
1;20.12.2025;94,5120;Евро
1;19.12.2025;94,2524;Евро
1;18.12.2025;94,1478;Евро
1;17.12.2025;93,8054;Евро
1;16.12.2025;93,2274;Евро
1;13.12.2025;93,5626;Евро
1;12.12.2025;92,9384;Евро
1;11.12.2025;91,3806;Евро
1;10.12.2025;89,4267;Евро
1;09.12.2025;89,7054;Евро
1;06.12.2025;88,7028;Евро
1;05.12.2025;89,9011;Евро
1;04.12.2025;90,5903;Евро
1;03.12.2025;89,8514;Евро
1;02.12.2025;90,3438;Евро
1;29.11.2025;90,8190;Евро
1;28.11.2025;90,7880;Евро
1;27.11.2025;91,5047;Евро
1;26.11.2025;90,9698;Евро
1;25.11.2025;91,3672;Евро
1;22.11.2025;90,5625;Евро
1;21.11.2025;92,6047;Евро
1;20.11.2025;93,7804;Евро
1;19.11.2025;93,9295;Евро
1;18.11.2025;94,4179;Евро
1;15.11.2025;95,0987;Евро
1;14.11.2025;93,6953;Евро
1;13.11.2025;94,1893;Евро
1;12.11.2025;94,1954;Евро
1;11.11.2025;93,9287;Евро
1;08.11.2025;93,8365;Евро
1;07.11.2025;93,7641;Евро
1;06.11.2025;93,5131;Евро
1;02.11.2025;93,3848;Евро
1;01.11.2025;93,3893;Евро
1;31.10.2025;93,3894;Евро
1;30.10.2025;92,2466;Евро
1;29.10.2025;92,9395;Евро
1;28.10.2025;92,0233;Евро
1;25.10.2025;94,0820;Евро
1;24.10.2025;94,3889;Евро
1;23.10.2025;94,7543;Евро
1;22.10.2025;94,6656;Евро
1;21.10.2025;94,3845;Евро
1;18.10.2025;94,5835;Евро
1;17.10.2025;92,0834;Евро
1;16.10.2025;91,7258;Евро
1;15.10.2025;92,6816;Евро
1;14.10.2025;93,9181;Евро
1;11.10.2025;94,0491;Евро
1;10.10.2025;94,7030;Евро
1;09.10.2025;94,9351;Евро
1;08.10.2025;95,6722;Евро
1;07.10.2025;96,8345;Евро
1;04.10.2025;96,0525;Евро
1;03.10.2025;95,3411;Евро
1;02.10.2025;95,6382;Евро
1;01.10.2025;96,8644;Евро
1;30.09.2025;97,1410;Евро
1;27.09.2025;97,6823;Евро
1;26.09.2025;98,1542;Евро
1;25.09.2025;98,6015;Евро
1;24.09.2025;99,0363;Евро
1;23.09.2025;98,9638;Евро
1;20.09.2025;98,8845;Евро
1;19.09.2025;98,9773;Евро
1;18.09.2025;98,2994;Евро
1;17.09.2025;97,8903;Евро
1;16.09.2025;97,4502;Евро
1;13.09.2025;99,3304;Евро
1;12.09.2025;99,7367;Евро
1;11.09.2025;99,8246;Евро
1;10.09.2025;98,0336;Евро
1;09.09.2025;96,5691;Евро
1;06.09.2025;95,4792;Евро
1;05.09.2025;94,7754;Евро
1;04.09.2025;94,2539;Евро
1;03.09.2025;93,8373;Евро
1;02.09.2025;94,3841;Евро
1;30.08.2025;94,0479;Евро
1;29.08.2025;93,4891;Евро
1;28.08.2025;93,3428;Евро
1;27.08.2025;93,3684;Евро
1;26.08.2025;94,4622;Евро
1;23.08.2025;93,6274;Евро
1;22.08.2025;93,5049;Евро
1;21.08.2025;93,4791;Евро
1;20.08.2025;93,5604;Евро
1;19.08.2025;94,0884;Евро
1;16.08.2025;93,7094;Евро
1;15.08.2025;93,0588;Евро
1;14.08.2025;93,3875;Евро
1;13.08.2025;92,8583;Евро
1;12.08.2025;92,9485;Евро
1;09.08.2025;92,8800;Евро
1;08.08.2025;92,6636;Евро
1;07.08.2025;93,0072;Евро
1;06.08.2025;92,5094;Евро
1;05.08.2025;92,3252;Евро
1;02.08.2025;91,7056;Евро
1;01.08.2025;91,8751;Евро
1;31.07.2025;94,9514;Евро
1;30.07.2025;94,9976;Евро
1;29.07.2025;93,2060;Евро
1;26.07.2025;93,3508;Евро
1;25.07.2025;93,3362;Евро
1;24.07.2025;91,7897;Евро
1;23.07.2025;91,7782;Евро
1;22.07.2025;91,5138;Евро
1;19.07.2025;91,0821;Евро
1;18.07.2025;90,9716;Евро
1;17.07.2025;90,5635;Евро
1;16.07.2025;91,1531;Евро
1;15.07.2025;91,7738;Евро
1;12.07.2025;91,1201;Евро
1;11.07.2025;91,4992;Евро
1;10.07.2025;91,4175;Евро
1;09.07.2025;91,9667;Евро
1;08.07.2025;92,4138;Евро
1;05.07.2025;93,0103;Евро
1;04.07.2025;93,1277;Евро
1;03.07.2025;92,6774;Евро
1;02.07.2025;92,7440;Евро
1;01.07.2025;92,2672;Евро
1;28.06.2025;92,2785;Евро
1;27.06.2025;91,6601;Евро
1;26.06.2025;91,0599;Евро
1;25.06.2025;91,7370;Евро
1;24.06.2025;89,8388;Евро
1;21.06.2025;90,1356;Евро
1;20.06.2025;89,8380;Евро
1;19.06.2025;90,3093;Евро
1;18.06.2025;90,7548;Евро
1;17.06.2025;90,9438;Евро
1;12.06.2025;90,0068;Евро
1;11.06.2025;89,7918;Евро
1;10.06.2025;90,3666;Евро
1;07.06.2025;90,3954;Евро
1;06.06.2025;90,6635;Евро
1;05.06.2025;89,3108;Евро
1;04.06.2025;89,9267;Евро
1;03.06.2025;90,3770;Евро
1;31.05.2025;89,2512;Евро
1;30.05.2025;88,9481;Евро
1;29.05.2025;90,3365;Евро
1;28.05.2025;90,9007;Евро
1;27.05.2025;90,4644;Евро
1;24.05.2025;90,5207;Евро
1;23.05.2025;90,2004;Евро
1;22.05.2025;91,2990;Евро
1;21.05.2025;89,9679;Евро
1;20.05.2025;90,5098;Евро
1;17.05.2025;90,7062;Евро
1;16.05.2025;90,1011;Евро
1;15.05.2025;90,3821;Евро
1;14.05.2025;89,6956;Евро
1;13.05.2025;90,1117;Евро
1;08.05.2025;92,1439;Евро
1;07.05.2025;91,9169;Евро
1;06.05.2025;92,9082;Евро
1;01.05.2025;92,8370;Евро
1;30.04.2025;93,1730;Евро
1;29.04.2025;93,1801;Евро
1;26.04.2025;94,3593;Евро
1;25.04.2025;94,7129;Евро
1;24.04.2025;94,5723;Евро
1;23.04.2025;94,0400;Евро
1;22.04.2025;93,6714;Евро
1;19.04.2025;92,2232;Евро
1;18.04.2025;93,2513;Евро
1;17.04.2025;93,3356;Евро
1;16.04.2025;93,6844;Евро
1;15.04.2025;94,1635;Евро
1;12.04.2025;96,2163;Евро
1;11.04.2025;94,6036;Евро
1;10.04.2025;95,0910;Евро
1;09.04.2025;93,7755;Евро
1;08.04.2025;94,7742;Евро
1;05.04.2025;92,9855;Евро
1;04.04.2025;93,1608;Евро
1;03.04.2025;91,2044;Евро
1;02.04.2025;91,9643;Евро
1;01.04.2025;92,4276;Евро
1;29.03.2025;89,6553;Евро
1;28.03.2025;90,5441;Евро
1;27.03.2025;92,0029;Евро
1;26.03.2025;92,3409;Евро
1;25.03.2025;91,5252;Евро
1;22.03.2025;91,4262;Евро
1;21.03.2025;92,4633;Евро
1;20.03.2025;90,8257;Евро
1;19.03.2025;87,5697;Евро
1;18.03.2025;90,8443;Евро
1;15.03.2025;93,6087;Евро
1;14.03.2025;94,2559;Евро
1;13.03.2025;93,9710;Евро
1;12.03.2025;93,6639;Евро
1;11.03.2025;95,4443;Евро
1;08.03.2025;96,8609;Евро
1;07.03.2025;96,5975;Евро
1;06.03.2025;95,7035;Евро
1;05.03.2025;93,9034;Евро
1;04.03.2025;92,8530;Евро
1;01.03.2025;91,5655;Евро
1;28.02.2025;92,0362;Евро
1;27.02.2025;90,1826;Евро
1;26.02.2025;90,9403;Евро
1;25.02.2025;92,5162;Евро
1;22.02.2025;92,0152;Евро
1;21.02.2025;92,4831;Евро
1;20.02.2025;94,0834;Евро
1;19.02.2025;95,6693;Евро
1;18.02.2025;95,8048;Евро
1;15.02.2025;94,8876;Евро
1;14.02.2025;94,9221;Евро
1;13.02.2025;98,0119;Евро
1;12.02.2025;99,1953;Евро
1;11.02.2025;100,4991;Евро
1;08.02.2025;101,2243;Евро
1;07.02.2025;100,6751;Евро
1;06.02.2025;102,9215;Евро
1;05.02.2025;102,6852;Евро
1;04.02.2025;102,4910;Евро
1;01.02.2025;102,1301;Евро
1;31.01.2025;102,7782;Евро
1;30.01.2025;102,4041;Евро
1;29.01.2025;101,5957;Евро
1;28.01.2025;102,7460;Евро
1;25.01.2025;103,1870;Евро
1;24.01.2025;103,6612;Евро
1;23.01.2025;103,2419;Евро
1;22.01.2025;103,2856;Евро
1;21.01.2025;105,0457;Евро
1;18.01.2025;104,8609;Евро
1;17.01.2025;105,8072;Евро
1;16.01.2025;106,0971;Евро
1;15.01.2025;106,2493;Евро
1;14.01.2025;104,8556;Евро
1;11.01.2025;105,0464;Евро
1;10.01.2025;105,0893;Евро
1;29.12.2024;106,1028;Евро
1;28.12.2024;105,9522;Евро
1;27.12.2024;103,2997;Евро
1;26.12.2024;103,9416;Евро
1;25.12.2024;104,2310;Евро
1;24.12.2024;105,2512;Евро
1;21.12.2024;106,5444;Евро
1;20.12.2024;107,9576;Евро
1;19.12.2024;108,5083;Евро
1;18.12.2024;108,3444;Евро
1;17.12.2024;108,7016;Евро
1;14.12.2024;109,0126;Евро
1;13.12.2024;110,4804;Евро
1;12.12.2024;108,5588;Евро
1;11.12.2024;106,2024;Евро
1;10.12.2024;105,0996;Евро
1;07.12.2024;106,3040;Евро
1;06.12.2024;109,7802;Евро
1;05.12.2024;110,2041;Евро
1;04.12.2024;112,0200;Евро
1;03.12.2024;112,8019;Евро
1;30.11.2024;114,3149;Евро
1;29.11.2024;116,1410;Евро
1;28.11.2024;113,0947;Евро
1;27.11.2024;110,4943;Евро
1;26.11.2024;108,8705;Евро
1;23.11.2024;107,4252;Евро
1;22.11.2024;106,0762;Евро
1;21.11.2024;105,8090;Евро
1;20.11.2024;105,7338;Евро
1;19.11.2024;105,4606;Евро
1;16.11.2024;105,7072;Евро
1;15.11.2024;104,5016;Евро
1;14.11.2024;104,2901;Евро
1;13.11.2024;104,2533;Евро
1;12.11.2024;104,8522;Евро
1;09.11.2024;105,4510;Евро
1;08.11.2024;105,5679;Евро
1;07.11.2024;105,7086;Евро
1;06.11.2024;106,8883;Евро
1;03.11.2024;106,1426;Евро
1;02.11.2024;105,8415;Евро
1;01.11.2024;105,5231;Евро
1;31.10.2024;105,2211;Евро
1;30.10.2024;105,4375;Евро
1;29.10.2024;105,2229;Евро
1;26.10.2024;104,8094;Евро
1;25.10.2024;104,5139;Евро
1;24.10.2024;104,3815;Евро
1;23.10.2024;104,8660;Евро
1;22.10.2024;104,4016;Евро
1;19.10.2024;104,8565;Евро
1;18.10.2024;105,7560;Евро
1;17.10.2024;106,0844;Евро
1;16.10.2024;105,6757;Евро
1;15.10.2024;105,4854;Евро
1;12.10.2024;105,1095;Евро
1;11.10.2024;106,5074;Евро
1;10.10.2024;106,4175;Евро
1;09.10.2024;105,6891;Евро
1;08.10.2024;105,3069;Евро
1;05.10.2024;104,7424;Евро
1;04.10.2024;104,8664;Евро
1;03.10.2024;104,4481;Евро
1;02.10.2024;103,6502;Евро
1;01.10.2024;104,1735;Евро
1;28.09.2024;103,4694;Евро
1;27.09.2024;103,1931;Евро
1;26.09.2024;103,4758;Евро
1;25.09.2024;103,4100;Евро
1;24.09.2024;103,2191;Евро
1;21.09.2024;103,3773;Евро
1;20.09.2024;103,2490;Евро
1;19.09.2024;102,0390;Евро
1;18.09.2024;101,5057;Евро
1;17.09.2024;101,2789;Евро
1;14.09.2024;100,7958;Евро
1;13.09.2024;100,3907;Евро
1;12.09.2024;100,7421;Евро
1;11.09.2024;100,4995;Евро
1;10.09.2024;99,9067;Евро
1;07.09.2024;99,7156;Евро
1;06.09.2024;99,1927;Евро
1;05.09.2024;98,0725;Евро
1;04.09.2024;97,8121;Евро
1;03.09.2024;99,2613;Евро
1;31.08.2024;100,7622;Евро
1;30.08.2024;101,7714;Евро
1;29.08.2024;102,0798;Евро
1;28.08.2024;102,2911;Евро
1;27.08.2024;102,4927;Евро
1;24.08.2024;101,6125;Евро
1;23.08.2024;101,6207;Евро
1;22.08.2024;101,9508;Евро
1;21.08.2024;100,2040;Евро
1;20.08.2024;98,9355;Евро
1;17.08.2024;97,8390;Евро
1;16.08.2024;98,3232;Евро
1;15.08.2024;100,3139;Евро
1;14.08.2024;100,5590;Евро
1;13.08.2024;96,6852;Евро
1;10.08.2024;95,1844;Евро
1;09.08.2024;94,1333;Евро
1;08.08.2024;93,8419;Евро
1;07.08.2024;93,0265;Евро
1;06.08.2024;93,0409;Евро
1;03.08.2024;92,8291;Евро
1;02.08.2024;92,8499;Евро
1;01.08.2024;93,5149;Евро
1;31.07.2024;93,2947;Евро
1;30.07.2024;94,1381;Евро
1;27.07.2024;93,2641;Евро
1;26.07.2024;93,1711;Евро
1;25.07.2024;94,3758;Евро
1;24.07.2024;95,4598;Евро
1;23.07.2024;95,7591;Евро
1;20.07.2024;96,0371;Евро
1;19.07.2024;96,1018;Евро
1;18.07.2024;96,3046;Евро
1;17.07.2024;96,2637;Евро
1;16.07.2024;95,7849;Евро
1;13.07.2024;95,7588;Евро
1;12.07.2024;95,6817;Евро
1;11.07.2024;95,3206;Евро
1;10.07.2024;95,3447;Евро
1;09.07.2024;95,6624;Евро
1;06.07.2024;95,5700;Евро
1;05.07.2024;94,9836;Евро
1;04.07.2024;94,5829;Евро
1;03.07.2024;93,6950;Евро
1;02.07.2024;93,9582;Евро
1;29.06.2024;92,4184;Евро
1;28.06.2024;90,9874;Евро
1;27.06.2024;94,1131;Евро
1;26.06.2024;93,7347;Евро
1;25.06.2024;94,0759;Евро
1;22.06.2024;94,2606;Евро
1;21.06.2024;91,4543;Евро
1;20.06.2024;89,0914;Евро
1;19.06.2024;93,2994;Евро
1;18.06.2024;95,3906;Евро
1;15.06.2024;95,1514;Евро
1;14.06.2024;94,8324;Евро
1;12.06.2024;95,7391;Евро
1;11.06.2024;95,6367;Евро
1;08.06.2024;96,6916;Евро
